Time (s),Time (hh:mm:ss),Outer Diameter,Inner Diameter,Table Marker,Temperature (oC),Pressure 1 (mmHg),Pressure 2 (mmHg),Avg Pressure (mmHg),Set Pressure (mmHg),Caliper length,Outer Profiles,Inner Profiles,Outer Profiles Valid,Inner Profiles Valid
0.0,00:00:00,171.59999999999997,129.22,0,0.0,nan,nan,nan,0,0.0,"167.96, 167.44, 169.0, 170.04, 171.08, 170.56, 171.08, 172.12, 171.08, 171.08, 175.76000000000002, 172.12, 173.68, 172.64000000000001, 172.64000000000001, 171.08, 172.12, 173.68, 173.68, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.0, 130.0, 127.4, 128.96, 129.48000000000002, 129.48000000000002, 128.96, 126.88000000000001, 128.96, 127.4, 132.6, 131.04, 126.88000000000001, 131.04, 130.0, 132.6, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
2.0,00:00:02,171.67799999999997,129.22,0,0.0,nan,nan,nan,0,0.0,"167.96, 167.44, 169.0, 170.04, 171.08, 170.56, 171.08, 172.12, 171.08, 171.08, 175.76000000000002, 172.64000000000001, 174.20000000000002, 172.64000000000001, 173.16, 171.08, 172.12, 173.68, 173.68, 173.16","127.4, 126.88000000000001, 128.96, 130.0, 130.0, 127.4, 128.96, 129.48000000000002, 129.48000000000002, 128.96, 126.88000000000001, 128.96, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 129.48000000000002, 132.6, 128.96","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
4.0,00:00:04,171.85999999999996,129.35,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.0, 170.56, 171.6, 170.56, 171.08, 172.64000000000001, 171.6, 171.08, 175.76000000000002, 172.64000000000001, 174.20000000000002, 173.16, 173.16, 171.08, 172.12, 173.68, 174.20000000000002, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.0, 130.52, 127.4, 128.96, 130.0, 130.0, 128.96, 127.4, 128.44, 127.92, 132.6, 131.56, 126.88000000000001, 131.04, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
6.0,00:00:06,171.98999999999995,129.584,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.52, 170.56, 171.6, 170.56, 171.6, 172.64000000000001, 171.6, 171.6, 176.28, 172.64000000000001, 174.20000000000002, 173.16, 172.64000000000001, 171.6, 172.12, 174.20000000000002, 173.68, 173.68","127.92, 126.88000000000001, 129.48000000000002, 130.52, 130.52, 127.92, 128.96, 130.0, 129.48000000000002, 129.48000000000002, 127.4, 128.96, 127.92, 133.12, 132.08, 127.4, 131.04, 130.0, 133.12, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
8.0,00:00:08,172.22399999999996,129.688,0,0.0,nan,nan,nan,0,0.0,"169.0, 167.44, 169.52, 171.08, 171.6, 171.08, 172.12, 173.16, 172.12, 171.6, 176.28, 172.64000000000001, 174.20000000000002, 173.16, 173.16, 171.6, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.68","127.4, 126.88000000000001, 130.0, 130.52, 131.04, 127.92, 128.96, 130.52, 130.0, 129.48000000000002, 127.92, 128.44, 127.92, 133.12, 131.56, 127.4, 131.56, 130.0, 133.12, 130.0","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
10.0,00:00:10,172.17199999999997,129.714,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 170.56, 171.6, 171.08, 172.12, 173.16, 172.12, 171.6, 176.28, 172.64000000000001, 174.20000000000002, 173.16, 173.16, 171.6, 172.64000000000001, 174.72, 173.68, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 128.96, 128.96, 130.52, 130.0, 129.48000000000002, 127.92, 128.44, 127.92, 133.12, 132.08, 127.4, 131.56, 130.0, 133.12, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
12.0,00:00:12,172.146,129.714,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 170.56, 171.6, 171.08, 172.12, 173.16, 171.6, 171.6, 176.28, 172.64000000000001, 174.72, 173.16, 173.16, 171.08, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.4, 126.88000000000001, 129.48000000000002, 130.52, 131.04, 128.96, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 127.92, 128.44, 127.92, 133.12, 132.08, 127.4, 132.08, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
14.0,00:00:14,172.22399999999996,129.74,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 170.56, 171.6, 171.08, 172.64000000000001, 173.16, 172.12, 171.6, 176.28, 173.16, 174.72, 173.16, 173.16, 171.08, 172.64000000000001, 174.20000000000002, 174.20000000000002, 173.16","127.92, 127.4, 129.48000000000002, 130.52, 131.04, 129.48000000000002, 128.96, 130.52, 130.0, 129.48000000000002, 127.92, 128.96, 128.44, 133.12, 131.56, 126.88000000000001, 131.56, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
16.0,00:00:16,172.19799999999998,129.714,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.96, 169.52, 170.56, 171.6, 171.08, 172.64000000000001, 173.16, 172.12, 172.12, 176.28, 173.16, 174.20000000000002, 173.16, 173.16, 171.6, 172.12, 174.20000000000002, 173.68, 173.16","127.4, 127.4, 129.48000000000002, 130.52, 131.04, 129.48000000000002, 129.48000000000002, 130.52, 129.48000000000002, 129.48000000000002, 127.92, 128.96, 128.44, 133.12, 131.56, 127.4, 131.04, 129.48000000000002, 132.6, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
18.1,00:00:18,172.14599999999996,129.73999999999998,0,0.0,nan,nan,nan,0,0.0,"168.48000000000002, 167.44, 169.0, 171.08, 171.6, 171.08, 172.12, 173.16, 172.12, 171.6, 176.8, 173.16, 174.20000000000002, 173.16, 173.16, 171.08, 172.64000000000001, 174.20000000000002, 174.20000000000002, 172.64000000000001","127.4, 126.88000000000001, 129.48000000000002, 131.04, 130.52, 128.96, 129.48000000000002, 130.52, 130.0, 129.48000000000002, 128.44, 128.96, 127.92, 133.12, 132.08, 126.88000000000001, 131.56, 129.48000000000002, 133.12, 129.48000000000002","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
