"Time (s)","Label","Diameter","P1","P2","max_percent"
"102.7","15 mmHg","98.56736842105263","nan","nan","-"
"2286.4","Myogenic Tone","86.61899999999999","nan","nan","-"
"4461.8","1uM CCh","98.748","nan","nan","-"
"4982.4","Wash","114.049","nan","nan","-"
"5686.7","Recirculate PSS","89.77799999999999","nan","nan","-"
"6073.1","10uM Histamine","86.853","nan","nan","-"
"6410.9","Wash","114.179","nan","nan","-"
"7069.2","Recirculate PSS","89.32300000000002","nan","nan","-"
"8064.1","100 uM L-NNA (200 ul of 10 mM stock)","101.62099999999998","nan","nan","-"
"10631.1","100 uM L-NNA (200 ul of 10 mM stock) + 10uM Histamine","98.709","nan","nan","-"
"10854.2","Wash","114.47800000000002","nan","nan","-"
"14421.9","recirc","114.2357894736842","nan","nan","-"
"15024.1","1 uM PE","111.9529411764706","nan","nan","-"
"15210.2","10 uM fexofenadine","93.054","nan","nan","-"
"15778.8","10 uM histamine","87.906","nan","nan","-"
"16071.7","10 uM cemetidine","109.86444444444446","nan","nan","-"
"16705.8","heat off 0Ca/EGTA","84.24","nan","nan","-"
